u

Блок 1Aerogel
Название блока данных:     Aerogel
Дата регистрации данных:   03.05.2024
Время регистрации данных:  13-17-06
Комментарий пользователя:  Aerogel
Прибор:        P-20X8
Номер канала:  1

Цикл 2, Шаг 1
Физический номер цикла: 2
Комментарий пользователя к шагу данных: 
Приборный комментарий: Шаг завершен по пределу потенциала
Тип работы: Гальваностат
Потенциал РЦ "До" (Вольт)     : не измерялся
Потенциал РЦ "После" (Вольт)  : не измерялся
Потенциал установления (Вольт): не измерялся
Ток установления (Ампер)      : не измерялся
Скорость развертки: 0 A/с.
Количество точек данных: 681
Время, с.,                   Потенциал, В,                   Ток, А
292                0,511559009552                0,000600105908                
294                0,51458799839                0,000600105908                
296                0,51783400774                0,000600105908                
298                0,52108001709                0,000600105908                
300                0,52432602644                0,000600105908                
302                0,527356028557                0,000600105908                
304                0,530601978302                0,000600105908                
306                0,533631026745                0,000600105908                
308                0,53687697649                0,000600105908                
310                0,539906978607                0,000600105908                
312                0,54293602705                0,000600105908                
314                0,546181976795                0,000600105908                
316                0,549211978912                0,000600105908                
318                0,552241027355                0,000600105908                
320                0,555271029472                0,000600105908                
322                0,558300018311                0,000600105908                
324                0,561330020428                0,000600105908                
326                0,564359009266                0,000600105908                
328                0,567171990871                0,000600105908                
330                0,570201992989                0,000600105908                
332                0,573230981827                0,000600105908                
334                0,576044976711                0,000600105908                
336                0,578858017921                0,000600105908                
338                0,58188700676                0,000600105908                
340                0,584699988365                0,000600105908                
342                0,58751398325                0,000600105908                
344                0,59032702446                0,000600105908                
346                0,593140006065                0,000600105908                
348                0,595736980438                0,000600105908                
350                0,598550021648                0,000600105908                
352                0,601145982742                0,000600105908                
354                0,60374301672                0,000600105908                
356                0,606339991093                0,000600105908                
358                0,60893702507                0,000600105908                
360                0,611532986164                0,000600105908                
362                0,613914012909                0,000600105908                
364                0,616509974003                0,000600105908                
366                0,618891000748                0,000600105908                
368                0,621271014214                0,000600105908                
370                0,623651981354                0,000600105908                
372                0,625814974308                0,000600105908                
374                0,628196001053                0,000600105908                
376                0,630360007286                0,000600105908                
378                0,632524013519                0,000600105908                
380                0,634688019753                0,000600105908                
382                0,636852025986                0,000600105908                
384                0,638799011707                0,000600105908                
386                0,640963017941                0,000600105908                
388                0,642911016941                0,000600105908                
390                0,644858002663                0,000600105908                
392                0,646806001663                0,000600105908                
394                0,648536980152                0,000600105908                
396                0,650484979153                0,000600105908                
398                0,652216017246                0,000600105908                
400                0,653946995735                0,000600105908                
402                0,655677974224                0,000600105908                
404                0,657409012318                0,000600105908                
406                0,658923983574                0,000600105908                
408                0,660655021667                0,000600105908                
410                0,662169992924                0,000600105908                
412                0,663685023785                0,000600105908                
414                0,665198981762                0,000600105908                
416                0,666714012623                0,000600105908                
418                0,668228983879                0,000600105908                
420                0,669526994228                0,000600105908                
422                0,671042025089                0,000600105908                
424                0,672340989113                0,000600105908                
426                0,673638999462                0,000600105908                
428                0,674937009811                0,000600105908                
430                0,676235973835                0,000600105908                
432                0,677533984184                0,000600105908                
434                0,678831994534                0,000600105908                
436                0,67991399765                0,000600105908                
438                0,681213021278                0,000600105908                
440                0,682295024395                0,000600105908                
442                0,68359297514                0,000600105908                
444                0,684674978256                0,000600105908                
446                0,685756981373                0,000600105908                
448                0,686838984489                0,000600105908                
450                0,687920987606                0,000600105908                
452                0,689002990723                0,000600105908                
454                0,690084993839                0,000600105908                
456                0,690950989723                0,000600105908                
458                0,692031979561                0,000600105908                
460                0,693113982677                0,000600105908                
462                0,693979978561                0,000600105908                
464                0,695061981678                0,000600105908                
466                0,695927977562                0,000600105908                
468                0,696793019772                0,000600105908                
470                0,697875022888                0,000600105908                
472                0,698741018772                0,000600105908                
474                0,699606001377                0,000600105908                
476                0,700471997261                0,000600105908                
478                0,701336979866                0,000600105908                
480                0,70220297575                0,000600105908                
482                0,703068971634                0,000600105908                
484                0,703934013844                0,000600105908                
486                0,704800009727                0,000600105908                
488                0,7054489851                0,000600105908                
490                0,706314980984                0,000600105908                
492                0,707180023193                0,000600105908                
494                0,707828998566                0,000600105908                
496                0,70869499445                0,000600105908                
498                0,709344029427                0,000600105908                
500                0,710210025311                0,000600105908                
502                0,710859000683                0,000600105908                
504                0,711723983288                0,000600105908                
506                0,712373971939                0,000600105908                
508                0,713023006916                0,000600105908                
510                0,713671982288                0,000600105908                
512                0,714537978172                0,000600105908                
514                0,715187013149                0,000600105908                
516                0,715835988522                0,000600105908                
518                0,716485023499                0,000600105908                
520                0,717133998871                0,000600105908                
522                0,717783987522                0,000600105908                
524                0,718433022499                0,000600105908                
526                0,719081997871                0,000600105908                
528                0,719730973244                0,000600105908                
530                0,720380008221                0,000600105908                
532                0,72081297636                0,000600105908                
534                0,721462011337                0,000600105908                
536                0,72211098671                0,000600105908                
538                0,722544014454                0,000600105908                
540                0,723192989826                0,000600105908                
542                0,723842978477                0,000600105908                
544                0,724274992943                0,000600105908                
546                0,724924981594                0,000600105908                
548                0,725356996059                0,000600105908                
550                0,726006984711                0,000600105908                
552                0,726438999176                0,000600105908                
554                0,727088987827                0,000600105908                
556                0,727521002293                0,000600105908                
558                0,727953970432                0,000600105908                
560                0,728603005409                0,000600105908                
562                0,729035973549                0,000600105908                
564                0,729469001293                0,000600105908                
566                0,730117976665                0,000600105908                
568                0,73055100441                0,000600105908                
570                0,730983972549                0,000600105908                
572                0,731415987015                0,000600105908                
574                0,731849014759                0,000600105908                
576                0,732281982899                0,000600105908                
578                0,732715010643                0,000600105908                
580                0,733363986015                0,000600105908                
582                0,73379701376                0,000600105908                
584                0,734229981899                0,000600105908                
586                0,734661996365                0,000600105908                
588                0,735095024109                0,000600105908                
590                0,735311985016                0,000600105908                
592                0,735743999481                0,000600105908                
594                0,736177027225                0,000600105908                
596                0,736609995365                0,000600105908                
598                0,737043023109                0,000600105908                
600                0,737475991249                0,000600105908                
602                0,737908005714                0,000600105908                
604                0,738125026226                0,000600105908                
606                0,738557994366                0,000600105908                
608                0,738990008831                0,000600105908                
610                0,739207029343                0,000600105908                
612                0,739638984203                0,000600105908                
614                0,740072011948                0,000600105908                
616                0,740504980087                0,000600105908                
618                0,74072098732                0,000600105908                
620                0,741154015064                0,000600105908                
622                0,741586983204                0,000600105908                
624                0,741802990437                0,000600105908                
626                0,742236018181                0,000600105908                
628                0,742452979088                0,000600105908                
630                0,742884993553                0,000600105908                
632                0,743102014065                0,000600105908                
634                0,743534982204                0,000600105908                
636                0,743750989437                0,000600105908                
638                0,744184017181                0,000600105908                
640                0,744400024414                0,000600105908                
642                0,744832992554                0,000600105908                
644                0,745048999786                0,000600105908                
646                0,745482027531                0,000600105908                
648                0,745698988438                0,000600105908                
650                0,74591499567                0,000600105908                
652                0,746348023415                0,000600105908                
